일,롱패딩: (대한민국),원피스: (대한민국),여성롱패딩: (대한민국),남자롱패딩: (대한민국),잠옷: (대한민국),롱패딩: (대한민국),여자롱패딩: (대한민국),여성숏패딩: (대한민국),여성패딩: (대한민국),반팔티: (대한민국),롱패딩: (대한민국),숏패딩: (대한민국),트위드자켓: (대한민국),트렌치코트: (대한민국),여성경량패딩: (대한민국),롱패딩: (대한민국),핸드메이드코트: (대한민국),쥬시쥬디: (대한민국),블라우스: (대한민국),나이키바람막이: (대한민국),롱패딩: (대한민국),여성트레이닝세트: (대한민국),바람막이: (대한민국),후드집업: (대한민국),여자트렌치코트: (대한민국),롱패딩: (대한민국),롱원피스: (대한민국),써스데이아일랜드원피스: (대한민국),반바지: (대한민국),강블리gbl남여공용무지반팔7색: (대한민국),롱패딩: (대한민국),팬츠: (대한민국),가을원피스: (대한민국),나이키후드티: (대한민국),맨투맨: (대한민국),롱패딩: (대한민국),반팔티: (대한민국),아르마니익스체인지: (대한민국),루시앙: (대한민국),나이키맨투맨: (대한민국),롱패딩: (대한민국),하객원피스: (대한민국),리버클래시정장: (대한민국),dabagirl: (대한민국),후드티: (대한민국),롱패딩: (대한민국),나우포그니플리스: (대한민국),니트원피스: (대한민국),여성가디건: (대한민국),핸드메이드코트: (대한민국),롱패딩: (대한민국),후리스: (대한민국),패딩: (대한민국),여성경량패딩: (대한민국),남자경량패딩: (대한민국),롱패딩: (대한민국),노스페이스패딩: (대한민국),커플잠옷: (대한민국),수면잠옷: (대한민국),남자반팔티: (대한민국),롱패딩: (대한민국),여성린넨자켓: (대한민국),트위드자켓: (대한민국),메종키츠네반팔: (대한민국),여름원피스: (대한민국),롱패딩: (대한민국),라코스테원피스: (대한민국),여성점프수트: (대한민국),강블리gbl남여공용무지반팔7색: (대한민국),남자반바지: (대한민국)
2021-03-29,1,24,0,0,1,7,0,0,0,0,7,0,0,14,0,7,0,0,7,0,7,0,29,14,0,7,0,0,7,0,6,32,0,0,13,7,0,0,0,0,7,0,0,0,22,7,0,0,0,0,2,5,2,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0
2021-03-30,0,19,0,0,2,0,0,0,0,14,0,0,14,7,0,0,0,0,7,0,0,0,50,14,0,0,0,0,29,0,0,32,0,0,32,0,14,0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
2021-03-31,1,24,0,0,2,8,0,0,8,0,8,0,0,15,0,8,0,0,0,0,8,0,38,8,0,8,0,0,0,0,7,7,0,13,27,8,0,0,0,0,8,0,0,0,68,8,0,0,0,0,2,0,7,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0
2021-04-01,0,45,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,7,22,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,0,39,0,0,1,0,0,0,0,15,0,0,0,8,0,0,0,0,31,0,0,0,31,15,0,0,0,0,8,0,0,41,7,0,41,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-03,0,37,0,0,1,0,0,0,0,0,0,0,8,8,0,0,0,0,8,0,0,0,16,8,0,0,0,0,25,0,0,29,0,0,29,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2021-04-04,0,26,0,0,1,0,0,0,0,0,0,0,8,24,0,0,0,0,16,0,0,0,32,8,0,0,0,0,40,0,0,79,0,0,14,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2021-04-05,1,25,0,0,1,7,0,0,0,7,7,0,0,22,0,7,0,0,22,0,7,0,22,7,0,7,0,0,15,0,7,33,0,0,33,7,7,0,0,0,7,0,0,0,7,7,0,0,0,0,2,0,7,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0
2021-04-06,0,27,0,0,2,0,0,0,0,15,0,0,7,7,0,0,0,0,7,0,0,0,22,0,0,0,0,0,0,0,0,26,0,7,13,0,15,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2021-04-07,0,26,0,0,3,0,0,0,0,15,0,0,7,15,0,0,0,0,7,0,0,0,29,29,0,0,0,0,7,0,0,26,0,0,26,0,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2021-04-08,0,53,0,0,1,0,0,0,0,15,0,0,7,0,0,0,0,0,15,0,0,0,22,0,0,0,7,0,0,0,0,20,0,0,0,0,15,0,0,0,0,0,0,0,22,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2021-04-09,0,44,0,0,1,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,15,0,8,0,0,0,0,0,0,47,0,0,20,0,8,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-10,0,38,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,25,8,0,0,0,0,8,0,0,76,0,0,38,0,0,0,0,0,0,0,0,0,34,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-11,1,26,0,0,1,16,0,0,0,16,16,0,16,8,0,16,0,0,24,0,16,0,8,16,0,16,0,0,0,0,15,51,0,0,7,16,16,0,0,0,16,0,0,0,32,16,0,0,0,0,5,3,16,0,0,16,0,0,0,0,16,0,16,0,0,16,0,0,0,0
2021-04-12,0,23,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,7,0,0,0,28,14,0,0,7,0,21,0,0,50,0,0,6,0,7,0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-13,0,24,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,35,0,0,0,7,0,21,0,0,56,0,6,31,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2021-04-14,0,24,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,21,0,0,0,7,0,0,0,0,0,7,0,0,25,0,0,25,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-15,1,25,0,0,1,7,0,0,0,7,7,0,0,0,0,7,0,0,14,0,7,0,0,0,0,7,0,0,0,0,6,52,0,0,26,7,7,0,0,0,7,0,0,0,51,7,0,0,7,0,2,0,5,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0
2021-04-16,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,22,0,0,0,0,0,0,0,47,0,0,27,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-17,0,27,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,9,0,0,0,18,9,0,0,0,0,0,0,0,8,0,0,48,0,0,0,0,9,0,0,0,0,18,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-18,2,24,0,0,5,26,0,0,0,17,26,0,0,26,0,26,0,0,9,0,26,0,61,17,0,26,0,0,26,0,23,23,0,0,47,26,17,0,0,9,26,0,0,0,35,26,0,0,0,0,8,0,8,0,0,26,0,0,0,0,26,0,0,0,0,26,0,0,0,0
2021-04-19,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,0,0,0,0,0,7,0,0,26,0,0,20,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-20,0,23,0,0,2,0,0,0,0,22,0,0,14,0,0,0,0,0,7,0,0,0,22,7,0,0,7,0,14,0,0,38,0,0,13,0,22,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
2021-04-21,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,15,0,0,0,0,15,0,0,67,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-22,1,45,0,0,1,7,0,0,7,22,7,0,0,0,0,7,0,0,7,0,7,0,30,0,0,7,8,0,37,0,7,33,0,0,20,7,22,0,0,0,7,0,0,0,30,7,0,0,0,0,2,0,2,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0
2021-04-23,0,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,45,0,0,41,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-24,0,37,0,0,2,0,0,0,0,35,0,0,9,0,0,0,0,0,9,0,0,0,17,0,0,0,0,0,17,0,0,31,0,0,23,0,35,0,0,0,0,0,0,0,26,0,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
2021-04-25,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,40,8,0,0,0,0,8,0,0,50,0,0,14,0,0,0,0,0,0,0,0,0,24,0,0,0,16,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-26,0,30,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,36,15,0,0,0,0,7,0,0,39,0,0,19,0,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-27,0,32,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,7,0,0,0,15,22,0,0,7,0,36,0,0,45,0,0,7,0,22,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2021-04-28,0,26,0,0,3,0,0,0,0,22,0,0,0,8,0,0,0,0,15,0,0,0,22,7,0,0,0,0,45,0,0,40,0,0,7,0,22,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-29,0,32,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,22,0,0,0,29,0,0,0,0,0,22,0,0,58,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30,0,39,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8,0,0,0,0,34,0,0,20,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
2021-05-01,0,54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,0,0,31,0,0,31,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-02,0,45,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,8,0,0,0,17,0,0,0,9,0,8,0,0,23,0,0,15,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2021-05-03,0,24,0,0,1,0,0,0,0,15,0,8,0,8,0,0,0,0,8,0,0,0,30,8,0,0,0,0,23,0,0,40,0,0,7,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-04,0,35,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,29,0,0,0,22,0,0,0,0,0,0,0,0,20,0,0,13,0,15,0,0,7,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-05,0,44,0,0,2,0,0,0,0,9,0,0,0,9,0,0,0,0,9,0,0,0,17,0,0,0,0,0,9,0,0,15,0,0,15,0,9,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06,0,38,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,7,0,0,0,0,7,7,0,0,7,0,37,0,0,52,0,0,13,0,22,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-07,0,42,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,8,0,0,0,7,0,0,0,0,0,15,0,0,53,0,0,7,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
2021-05-08,1,37,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,8,0,8,0,59,0,0,8,0,0,8,0,8,30,0,0,30,8,0,0,0,8,8,0,0,0,25,8,0,0,0,0,3,0,8,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0
2021-05-09,0,30,0,0,1,0,0,0,0,33,0,0,0,16,0,0,0,0,25,0,0,0,0,8,0,0,0,0,25,0,0,37,0,0,44,0,33,0,0,0,0,0,0,0,33,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-10,0,20,0,0,1,0,0,0,0,14,0,7,0,7,0,0,0,0,20,0,0,0,7,7,0,0,7,0,14,0,0,12,0,0,18,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-11,0,24,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,7,0,0,0,21,14,0,0,7,0,21,0,0,31,0,6,13,0,21,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2021-05-12,0,21,0,0,1,0,0,0,0,66,0,0,0,0,0,0,0,0,37,0,0,0,0,15,0,0,0,0,44,0,0,33,0,0,13,0,66,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-13,0,36,0,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,14,0,0,0,7,7,0,0,0,0,14,0,0,45,0,0,6,0,29,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0
2021-05-14,0,41,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,23,0,0,0,8,0,31,0,0,34,0,0,14,0,15,0,0,0,0,0,0,0,15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
2021-05-15,0,29,0,0,4,0,0,0,0,25,0,0,0,0,0,0,0,0,8,0,0,0,17,0,0,0,0,0,0,0,0,30,0,0,7,0,25,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-16,0,35,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,8,0,0,0,0,16,0,0,16,0,31,0,0,42,0,0,14,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-17,1,23,0,0,1,7,0,0,0,7,7,0,0,0,0,7,0,0,7,0,7,0,28,0,0,7,0,0,7,0,6,19,0,0,6,7,7,0,0,0,7,0,0,0,7,7,0,0,0,0,2,0,7,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,7
2021-05-18,0,24,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,37,0,0,33,0,0,13,0,22,0,0,0,0,0,0,0,22,0,0,7,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-19,0,27,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,40,0,0,100,0,0,7,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-20,0,25,0,0,1,0,0,0,0,14,0,0,0,14,0,0,0,0,29,0,0,0,14,21,0,0,0,0,7,0,0,26,0,0,13,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
2021-05-21,1,38,0,0,2,8,0,0,0,8,8,0,8,8,0,8,0,0,15,0,8,0,15,0,0,8,8,0,15,0,7,34,0,0,0,8,8,0,0,0,8,0,0,0,30,8,0,0,0,0,2,2,2,0,0,8,0,0,0,0,8,0,8,0,0,8,0,0,0,0
2021-05-22,0,28,0,0,2,0,0,0,0,26,0,0,0,0,0,0,9,0,26,0,0,0,17,0,0,0,0,0,9,0,0,46,0,0,8,0,26,0,0,0,0,0,0,0,26,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-23,0,26,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,8,0,0,50,0,0,7,0,16,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-24,0,18,0,0,1,0,0,0,0,14,0,0,0,7,0,0,0,0,21,0,0,0,21,0,0,0,0,0,7,0,0,38,0,0,19,0,14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-25,0,22,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,66,0,0,13,0,15,0,0,0,0,0,0,0,7,0,0,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-26,0,25,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,7,0,37,0,0,53,0,0,26,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-27,1,38,0,0,1,7,0,0,0,21,7,0,0,0,0,7,0,0,21,0,7,0,0,7,0,7,7,0,14,0,6,38,0,0,13,7,21,0,0,0,7,0,0,0,7,7,0,0,0,0,2,0,2,0,0,7,0,0,0,0,7,0,0,0,7,7,0,0,0,0
2021-05-28,0,37,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,16,0,0,35,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2021-05-29,0,46,0,0,2,0,0,0,0,18,0,0,0,9,0,0,0,0,9,0,0,0,18,18,0,0,0,0,71,0,0,31,0,0,16,0,18,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
2021-05-30,0,30,0,0,1,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,17,8,0,0,0,0,17,0,0,67,0,0,23,0,8,0,0,8,0,0,0,0,25,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
2021-05-31,0,22,0,0,1,0,0,0,0,7,0,0,0,7,0,0,0,0,14,0,0,0,43,0,0,0,7,0,14,0,0,19,0,0,13,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,0,20,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,22,0,0,0,14,0,0,0,0,0,15,0,0,52,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-02,0,22,0,0,2,0,0,0,0,7,0,0,0,15,0,0,0,0,7,0,0,0,15,7,0,0,0,0,15,0,0,26,0,0,7,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
2021-06-03,0,36,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,7,0,0,14,0,29,0,0,45,0,0,13,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-04,0,40,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,15,0,0,14,0,0,14,0,23,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-05,1,33,0,0,2,9,0,0,0,17,9,0,0,0,0,9,0,0,17,0,9,0,0,0,0,9,9,0,9,0,8,77,0,0,8,9,17,0,0,0,9,0,0,0,26,9,0,0,0,0,3,0,8,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0
2021-06-06,1,34,0,0,3,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,25,0,0,8,0,0,25,0,7,7,0,0,0,8,0,0,0,0,8,0,0,0,8,8,0,0,0,0,3,3,5,0,0,8,0,0,0,0,8,0,0,0,8,8,0,0,0,8
2021-06-07,0,19,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,7,14,0,0,0,0,21,0,0,32,0,6,6,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-08,0,31,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,43,0,0,19,0,0,0,0,22,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2021-06-09,0,32,0,0,1,0,0,0,0,7,0,0,7,0,0,0,0,0,7,0,0,0,7,7,0,0,0,0,30,0,0,33,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0
2021-06-10,1,42,0,0,1,7,0,0,0,15,7,0,0,0,0,7,0,0,7,0,7,0,15,7,0,7,0,0,44,0,7,32,0,0,0,7,15,0,7,0,7,0,0,0,7,7,0,7,0,0,2,0,9,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0
2021-06-11,0,33,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,22,0,0,0,7,0,0,0,0,0,22,0,0,40,0,0,7,0,15,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2021-06-12,1,33,0,0,1,9,0,0,0,43,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,34,0,8,30,0,0,0,9,43,0,0,0,9,0,0,0,0,9,0,0,0,0,3,0,3,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0
2021-06-13,0,18,0,0,3,0,0,0,0,30,0,0,0,0,0,0,0,0,23,0,0,0,8,0,0,0,0,0,30,0,0,34,0,0,7,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
2021-06-14,0,18,0,0,2,0,0,0,0,34,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,12,0,0,12,0,34,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-15,0,14,0,0,2,0,0,0,0,21,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,7,0,21,0,0,43,0,0,19,0,21,0,0,0,0,7,0,0,7,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-16,0,24,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,15,0,0,0,0,0,30,0,0,27,0,0,20,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
2021-06-17,0,22,0,0,1,0,0,0,0,35,0,7,0,0,0,0,0,0,14,0,0,0,7,7,0,0,7,0,42,0,0,25,0,0,19,0,35,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
2021-06-18,0,32,0,0,1,0,0,0,0,8,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-19,0,34,0,0,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,41,0,0,17,0,19,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
2021-06-20,1,30,0,0,2,9,0,0,0,9,9,0,0,0,0,9,0,0,36,0,9,0,18,9,0,9,0,0,9,0,8,32,0,0,16,9,9,0,0,0,9,0,0,0,9,9,0,0,0,0,3,0,3,0,0,9,9,0,0,0,9,0,0,0,9,9,0,0,0,0
2021-06-21,1,26,0,0,1,8,0,0,0,31,8,0,0,0,0,8,0,0,23,0,8,0,0,0,0,8,0,0,8,0,7,48,0,0,0,8,31,0,0,0,8,0,0,0,0,8,0,0,0,0,2,2,7,0,0,8,0,0,0,0,8,0,0,0,15,8,0,0,0,8
2021-06-22,0,25,0,0,1,0,0,0,7,7,0,0,0,0,0,0,0,0,7,0,0,0,37,0,0,0,0,0,22,0,0,33,0,0,7,0,7,0,0,0,0,7,0,0,22,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-23,0,33,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,8,8,0,0,0,0,15,0,0,28,0,0,7,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-24,0,36,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,39,0,0,42,0,0,28,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
